userId,blockNum,stimulusNum,distance,correct,selection
1,4,96,0.162940293,1,1
1,5,97,0.237748072,1,2
1,5,98,0.339439902,1,3
1,5,99,0.32007453,1,1
1,5,100,0.293021786,1,1
1,5,101,0.166728805,1,1
1,5,102,0.252835323,1,1
1,5,103,0.200513731,1,2
1,5,104,0.320795052,1,4
1,5,105,0.235370877,1,3
1,5,106,0.243998202,1,3
1,5,107,0.115120851,1,2
1,5,108,0.165292258,1,4
1,5,109,0.229931574,1,1
1,5,110,0.110788229,1,4
1,5,111,0.291462509,1,3
1,5,112,0.280444751,1,2
1,5,113,0.2808575,0,1
1,5,114,0.268169524,1,2
1,5,115,0.207501338,1,1
1,5,116,0.136103037,1,1
1,5,117,0.126067058,1,1
1,5,118,0.34993576,0,2
1,5,119,0.194360346,1,1
1,5,120,0.196502496,0,1
1,6,121,0.311739008,1,4
1,6,122,0.346954514,0,1
1,6,123,0.188027448,1,3
1,6,124,0.258067962,1,3
1,6,125,0.215483848,1,4
1,6,126,0.135245734,1,3
1,6,127,0.293207013,1,2
1,6,128,0.290539459,0,4
1,6,129,0.166546845,0,1
1,6,130,0.125869306,1,3
1,6,131,0.182171082,1,3
1,6,132,0.230124025,1,4
1,6,133,0.11772586,1,1
1,6,134,0.314776522,1,2
1,6,135,0.228994741,0,3
1,6,136,0.276070952,0,1
1,6,137,0.24656206,1,3
1,6,138,0.253969636,1,2
1,6,139,0.304298153,1,1
1,6,140,0.150262797,1,3
1,6,141,0.231386187,1,2
1,6,142,0.203721258,1,3
1,6,143,0.112521107,1,2
1,6,144,0.348137961,1,4
2,1,1,0.242495319,1,2
2,1,2,0.161119863,1,2
2,1,3,0.168193163,1,1
2,1,4,0.300787216,1,2
2,1,5,0.26775657,1,1
2,1,6,0.279151234,1,3
2,1,7,0.129682151,1,3
2,1,8,0.265694595,1,3
2,1,9,0.136572161,1,2
2,1,10,0.211650647,1,4
2,1,11,0.241278112,0,3
2,1,12,0.349083414,1,4
2,1,13,0.115805663,0,4
2,1,14,0.298715561,1,2
2,1,15,0.284620042,1,3
2,1,16,0.326734606,1,3
2,1,17,0.218865505,0,3
2,1,18,0.239658476,1,2
2,1,19,0.227345195,1,2
2,1,20,0.32678149,0,3
2,1,21,0.111150998,1,2
2,1,22,0.348797833,1,4
2,1,23,0.197190924,1,4
2,1,24,0.195133718,0,3
2,2,25,0.164516821,1,4
2,2,26,0.204837404,1,1
2,2,27,0.188471759,1,1
2,2,28,0.246377693,1,1
2,2,29,0.341595417,1,1
2,2,30,0.315992421,1,1
2,2,31,0.122981924,1,2
2,2,32,0.267575031,1,1
2,2,33,0.295451839,0,2
2,2,34,0.255701675,0,4
2,2,35,0.225179076,1,4
2,2,36,0.212154265,1,3
2,2,37,0.332149545,1,4
2,2,38,0.232349881,1,1
2,2,39,0.318336804,0,3
2,2,40,0.124482248,1,4
2,2,41,0.100674111,0,3
2,2,42,0.281945178,1,2
2,2,43,0.164478505,1,3
2,2,44,0.299106095,1,4
2,2,45,0.184956543,1,3
2,2,46,0.243979178,0,1
2,2,47,0.112926873,1,4
2,2,48,0.293713625,1,2
2,3,49,0.129071679,1,1
2,3,50,0.126875921,1,4
2,3,51,0.346253567,1,2
2,3,52,0.247292887,0,1
2,3,53,0.250121754,1,3
2,3,54,0.305532697,1,3
2,3,55,0.207946586,1,4
2,3,56,0.191116412,0,3
2,3,57,0.275543932,1,1
2,3,58,0.108026161,1,1
2,3,59,0.234832477,1,3
2,3,60,0.322382817,1,1
2,3,61,0.113339003,1,2
2,3,62,0.164317707,1,1
2,3,63,0.292756694,1,3
2,3,64,0.212481386,0,3
2,3,65,0.341020248,1,3
2,3,66,0.261569059,1,1
2,3,67,0.280547905,0,3
2,3,68,0.31837065,0,4
2,3,69,0.190019037,1,4
2,3,70,0.165370411,1,1
2,3,71,0.223411008,1,4
2,3,72,0.231018974,1,3
2,4,73,0.181630225,1,3
2,4,74,0.349897158,1,1
2,4,75,0.262022274,1,1
2,4,76,0.237069873,1,3
2,4,77,0.166767129,1,3
2,4,78,0.130673911,0,2
2,4,79,0.312454937,1,1
2,4,80,0.27743743,1,1
